TOTAL NACIONAL,
    5 personas o más,17.989,18.230,18.479,18.728,18.987,19.269,19.555,19.839,20.119,20.400,20.669,20.928,21.192,21.457,21.721,21.993,
Huelva,
    Total,214.159,213.261,212.294,211.268,210.156,208.930,207.650,206.433,205.165,203.834,202.482,201.197,199.916,198.523,197.219,195.971,
    1 persona,55.017,54.382,53.739,53.093,52.396,51.611,50.827,50.148,49.401,48.648,47.879,47.233,46.628,45.866,45.249,44.683,
    2 personas,64.814,64.119,63.386,62.618,61.816,60.977,60.118,59.284,58.504,57.672,56.886,56.119,55.350,54.619,53.876,53.133,
    3 personas,44.571,44.620,44.645,44.644,44.633,44.611,44.576,44.517,44.453,44.387,44.307,44.201,44.083,43.980,43.859,43.745,
    4 personas,36.712,37.012,37.316,37.622,37.938,38.273,38.593,38.880,39.143,39.407,39.642,39.835,40.010,40.181,40.329,40.473,
    5 personas o más,13.046,13.128,13.210,13.291,13.373,13.457,13.535,13.604,13.663,13.720,13.768,13.808,13.845,13.877,13.907,13.937,
Jaén,
    Total,237.857,238.560,239.323,240.029,240.581,241.015,241.446,241.962,242.309,242.582,242.899,243.324,243.756,243.903,244.384,244.736,
    1 persona,65.116,64.820,64.635,64.429,64.061,63.580,63.164,62.825,62.326,61.782,61.226,60.761,60.333,59.516,59.128,58.541,
    2 personas,74.661,74.446,74.210,73.925,73.596,73.211,72.761,72.383,71.912,71.367,70.949,70.610,70.259,69.916,69.623,69.352,
    3 personas,46.632,46.940,47.201,47.445,47.698,47.951,48.179,48.365,48.578,48.784,48.970,49.126,49.260,49.446,49.526,49.641,
    4 personas,43.554,44.206,44.858,45.527,46.224,46.957,47.699,48.405,49.155,49.936,50.659,51.336,52.003,52.699,53.336,53.974,
    5 personas o más,7.893,8.148,8.419,8.703,9.001,9.316,9.643,9.985,10.338,10.713,11.096,11.490,11.901,12.325,12.773,13.229,
Málaga,
    Total,759.552,753.886,747.966,741.743,734.986,727.833,720.308,712.528,704.388,695.899,687.210,678.454,669.632,660.470,651.524,642.811,
    1 persona,194.140,191.985,189.833,187.660,185.205,182.557,179.833,177.111,174.227,171.304,168.334,165.541,162.909,159.967,157.319,154.763,
    2 personas,242.946,240.141,237.231,234.203,231.030,227.737,224.247,220.729,217.151,213.379,209.726,206.121,202.512,198.925,195.339,191.932,
    3 personas,150.440,149.863,149.198,148.447,147.633,146.751,145.826,144.807,143.740,142.632,141.441,140.170,138.812,137.459,136.086,134.742,
    4 personas,129.753,129.535,129.268,128.939,128.579,128.210,127.804,127.293,126.719,126.093,125.322,124.387,123.344,122.264,121.135,119.956,
    5 personas o más,42.273,42.361,42.436,42.494,42.539,42.577,42.599,42.587,42.551,42.491,42.387,42.235,42.056,41.856,41.644,41.418,
Sevilla,
    Total,792.894,789.802,786.526,783.113,779.373,775.197,770.919,766.588,761.941,757.072,752.169,747.531,742.882,737.815,733.032,728.192,
    1 persona,218.587,215.280,211.915,208.578,204.970,201.023,197.088,193.220,189.011,184.738,180.415,176.471,172.674,168.462,164.633,160.809,
    2 personas,238.695,236.359,233.928,231.395,228.813,226.099,223.329,220.590,217.911,215.132,212.581,210.244,207.941,205.633,203.491,201.355,
    3 personas,154.925,155.498,155.996,156.427,156.819,157.165,157.504,157.784,158.083,158.371,158.624,158.800,158.919,159.057,159.143,159.239,
    4 personas,140.185,141.526,142.888,144.241,145.615,147.044,148.434,149.738,151.002,152.227,153.302,154.161,154.906,155.638,156.192,156.683,
    5 personas o más,40.502,41.138,41.799,42.472,43.155,43.866,44.565,45.256,45.934,46.604,47.246,47.854,48.442,49.026,49.573,50.106,
ARAGÓN,
    Total,564.738,563.361,561.931,560.287,558.536,556.538,554.571,552.524,550.458,548.279,546.152,544.117,542.116,540.000,538.235,536.524,
    1 persona,174.403,172.835,171.288,169.632,167.839,165.840,163.916,161.944,159.909,157.859,155.832,153.909,151.999,149.896,148.213,146.494,
    2 personas,187.103,185.984,184.806,183.527,182.295,180.980,179.623,178.271,176.999,175.574,174.271,173.018,171.812,170.650,169.490,168.437,
    3 personas,103.315,103.809,104.269,104.712,105.137,105.556,105.990,106.414,106.848,107.299,107.728,108.156,108.576,109.034,109.452,109.878,
    4 personas,78.398,79.060,79.735,80.425,81.114,81.844,82.567,83.270,83.940,84.644,85.297,85.897,86.478,87.058,87.604,88.125,
    5 personas o más,21.519,21.673,21.832,21.990,22.150,22.317,22.476,22.625,22.761,22.902,23.025,23.138,23.252,23.363,23.477,23.591,
Huesca,
    Total,92.565,92.344,92.105,91.846,91.542,91.229,90.913,90.581,90.240,89.887,89.536,89.195,88.867,88.535,88.221,87.934,
    1 persona,28.927,28.620,28.311,27.992,27.635,27.264,26.904,26.532,26.141,25.744,25.347,24.962,24.584,24.184,23.809,23.440,
    2 personas,29.162,29.075,28.974,28.861,28.734,28.616,28.482,28.343,28.216,28.075,27.944,27.816,27.696,27.591,27.471,27.379,
    3 personas,18.906,18.901,18.892,18.879,18.863,18.842,18.823,18.804,18.787,18.768,18.750,18.730,18.706,18.688,18.663,18.638,
    4 personas,10.289,10.488,10.692,10.903,11.121,11.341,11.565,11.792,12.020,12.256,12.490,12.722,12.956,13.189,13.430,13.668,
    5 personas o más,5.282,5.259,5.235,5.211,5.190,5.166,5.139,5.110,5.076,5.043,5.005,4.965,4.926,4.884,4.848,4.810,
Teruel,
    Total,51.901,52.014,52.115,52.204,52.292,52.375,52.454,52.558,52.669,52.786,52.923,53.101,53.277,53.437,53.689,53.942,
    1 persona,15.621,15.560,15.502,15.425,15.348,15.265,15.175,15.104,15.025,14.946,14.878,14.831,14.769,14.671,14.660,14.620,
    2 personas,17.290,17.274,17.235,17.203,17.158,17.107,17.045,16.989,16.938,16.878,16.825,16.792,16.749,16.712,16.681,16.667,
    3 personas,8.907,8.995,9.081,9.172,9.265,9.360,9.460,9.560,9.667,9.778,9.892,10.009,10.132,10.258,10.387,10.521,
    4 personas,7.765,7.859,7.958,8.054,8.159,8.269,8.385,8.503,8.625,8.755,8.886,9.015,9.156,9.307,9.454,9.608,
    5 personas o más,2.316,2.326,2.339,2.349,2.362,2.375,2.388,2.402,2.414,2.428,2.442,2.455,2.471,2.489,2.507,2.526,
Zaragoza,
    Total,420.272,419.004,417.710,416.237,414.702,412.934,411.205,409.385,407.549,405.606,403.693,401.821,399.971,398.027,396.325,394.647,
    1 persona,129.855,128.655,127.475,126.214,124.856,123.312,121.837,120.308,118.743,117.169,115.606,114.115,112.646,111.041,109.743,108.434,
    2 personas,140.651,139.636,138.597,137.464,136.404,135.257,134.096,132.939,131.845,130.621,129.502,128.410,127.366,126.347,125.339,124.391,
    3 personas,75.502,75.913,76.295,76.662,77.009,77.354,77.707,78.049,78.394,78.753,79.085,79.417,79.738,80.088,80.402,80.719,
    4 personas,60.344,60.713,61.085,61.468,61.834,62.235,62.617,62.974,63.296,63.633,63.921,64.161,64.366,64.562,64.719,64.849,
    5 personas o más,13.921,14.087,14.258,14.429,14.599,14.776,14.948,15.114,15.271,15.430,15.579,15.718,15.855,15.990,16.123,16.255,
ASTURIAS, PRINCIPADO DE,
    Total,447.047,447.995,448.904,449.753,450.420,450.996,451.489,451.925,452.270,452.530,452.760,453.029,453.223,453.268,453.361,453.451,
    1 persona,159.250,158.101,156.940,155.735,154.351,152.862,151.339,149.749,148.072,146.378,144.660,143.078,141.436,139.658,137.972,136.198,
    2 personas,156.169,156.131,156.063,156.031,155.956,155.907,155.773,155.687,155.581,155.374,155.210,154.968,154.708,154.391,154.025,153.746,
    3 personas,80.269,81.462,82.651,83.814,84.982,86.141,87.325,88.493,89.673,90.875,92.056,93.236,94.414,95.620,96.832,98.057,
    4 personas,42.910,43.575,44.239,44.874,45.531,46.178,46.827,47.450,48.070,48.692,49.282,49.849,50.409,50.975,51.530,52.063,
    5 personas o más,8.449,8.726,9.011,9.299,9.600,9.909,10.225,10.546,10.874,11.211,11.551,11.898,12.256,12.623,13.002,13.387,
BALEARS, ILLES,
    Total,536.896,532.919,528.721,524.240,519.429,514.257,508.885,503.272,497.421,491.230,484.937,478.482,471.992,465.252,458.783,452.493,
    1 persona,129.718,128.246,126.798,125.340,123.800,122.129,120.521,118.911,117.276,115.561,113.899,112.316,110.844,109.227,107.868,106.555,
    2 personas,163.486,162.454,161.323,160.099,158.786,157.332,155.812,154.210,152.570,150.814,149.088,147.321,145.559,143.703,141.944,140.248,
    3 personas,104.467,104.172,103.813,103.382,102.899,102.367,101.770,101.114,100.412,99.648,98.828,97.934,96.984,96.032,95.058,94.122,
    4 personas,92.365,91.861,91.326,90.736,90.092,89.436,88.704,87.917,87.047,86.129,85.123,84.028,82.864,81.694,80.476,79.275,
    5 personas o más,46.860,46.186,45.461,44.682,43.853,42.994,42.078,41.120,40.116,39.077,37.999,36.883,35.741,34.595,33.438,32.293,
CANARIAS,
    Total,1.007.521,999.653,991.387,982.525,973.083,963.041,952.523,941.403,929.737,917.515,904.950,891.961,878.763,865.338,852.358,839.882,
    1 persona,253.297,250.036,246.774,243.421,239.968,236.406,232.809,229.083,225.251,221.364,217.505,213.598,209.785,205.875,202.377,199.043,
    2 personas,312.115,308.496,304.751,300.786,296.648,292.281,287.737,283.037,278.168,273.097,268.056,262.975,257.887,252.838,247.971,243.386,
    3 personas,218.456,217.749,216.914,215.917,214.760,213.438,211.989,210.390,208.664,206.784,204.731,202.535,200.194,197.802,195.345,192.980,
    4 personas,155.877,155.915,155.865,155.738,155.513,155.227,154.854,154.369,153.789,153.110,152.261,151.262,150.144,148.934,147.643,146.319,
